Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
CAST,Stockton,38.116,-121.3954,15860,113.4884,1999,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,12250,264.8649,1999,
TNHI,Hiwassee,35.3655,-84.92,7348,111.3333,1999,
NMRO,Roswell,33.397,-104.3983,6702,95.0638,1999,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,5479,85.2763,1999,
FLGA,Gainesville,29.6027,-82.3127,5035,29.062,1999,
KSQU,Quivira N.W.R.,38.15,-98.4833,5000,200,1999,
CARC,Rio Cosumnes,38.3505,-121.4175,4019,23.5029,1999,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,3771,10.5927,1999,
TXBS,Big Spring,32.2391,-101.4162,3382,112.7333,1999,
TXLS,La Sal Vieja,26.4849,-97.9649,2576,48.3756,1999,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,2500,204.0816,1999,
NMCA,Caballo,32.953,-107.3122,2472,54.3297,1999,
ILMC,McHenry County,42.3203,-88.365,2190,30.3324,1999,RN RC
TXFR,Freeport,29.0172,-95.3551,1537,4.0629,1999,
TXRO,Rockport,28.0669,-97.1167,1525,13.5556,1999,
TXQU,Quitaque,34.4346,-101.0739,1430,46.129,1999,
MXRR,"Rancho Rincon de Anacahuitas, Tamaulipas, Mexico",25.5833,-97.5,1261,140.1111,1999,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,1186,10.4035,1999,
TXCC,Corpus Christi,27.8334,-97.5833,1159,10.4887,1999,
FLLP,Lake Placid,27.2601,-81.3441,1000,7.6923,1999,
MIWA,Waterloo State Recreation Area,42.3245,-84.2097,903,13.2794,1999,
TXRL,Robert Lee,31.9161,-100.4999,859,50.5294,1999,
ORSI,Sauvie Island,45.7562,-122.8008,795,7.6259,1999,
LACL,Cheneyville-Lecompte,31.1,-92.3667,756,12.8136,1999,
NMAL,Albuquerque,35.1833,-106.6167,738,7.2353,1999,
ILFB,Fermilab-Batavia,41.8605,-88.2628,727,3.7963,1999,RN
OKWA,Washita N.W.R.,35.6495,-99.2797,705,15.1613,1999,
TXAR,Aransas N.W.R.,28.2333,-96.8833,672,7.68,1999,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,671,7.5393,1999,
CACW,Caswell-Westley,37.6061,-121.174,663,10.2791,1999,
COGJ,Grand Junction,39.1208,-108.6081,548,3.7793,1999,
OKAN,Arnett,36.0569,-99.8103,500,50,1999,
WILG,Lake Geneva,42.5833,-88.5,487,7.8233,1999,
TXBZ,Brazos Bend,29.3734,-95.6688,424,4.5227,1999,
FLKV,Kissimmee Valley,28.2062,-81.3936,414,6.1561,1999,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,408,3.251,1999,
CAPV,Peace Valley,39.1982,-121.8219,313,2.9528,1999,
MIFL,Flint,42.8615,-83.8475,308,30.8,1999,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,305,8.9706,1999,
TXBL,Buffalo Lake N.W.R.,34.9187,-102.0428,300,13.9535,1999,
TXKI,Kingsville,27.4658,-97.8551,295,5.463,1999,
TXHO,Houston,29.7497,-94.9492,253,2.5816,1999,
NMGR,Gila River,32.9152,-108.584,238,5.1183,1999,
INJC,Johnson County,39.4103,-86.0668,235,4.6078,1999,
TXCY,Cypress Creek,29.9561,-95.89,233,3.8833,1999,
TXVI,Victoria,28.8723,-97.0784,216,2.4971,1999,
NMLC,Las Cruces,32.3,-106.7167,209,2.4162,1999,
FLAB,Aripeka-Bayport,28.4667,-82.5833,195,3.3913,1999,
TXCS,College Station,30.593,-96.3175,193,1.808,1999,
INWH,Whitewater S.P.,39.5909,-84.9936,176,2.9333,1999,
FLEM,Emeralda-Sunnyhill,28.85,-81.8501,160,2.1053,1999,
TXCK,Choke Canyon,28.4913,-98.3082,159,2.7064,1999,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,154,3.5814,1999,
FLAP,Avon Park A.F. Range,27.6501,-81.3167,154,2.7018,1999,
FLLW,Lake Wales,27.8939,-81.5189,152,1.0483,1999,
TXLW,Lake Meredith (west),35.5168,-101.7833,150,6.25,1999,RW QU
INPR,Pigeon River State Fish & Wildlife Area,41.6418,-85.2771,134,2.6667,1999,
FLSB,South Brevard County,27.8486,-80.55,130,0.9286,1999,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,125,3.8462,1999,
NMLO,Loving,32.291,-104.0667,124,3.0244,1999,
FLME,Melrose,29.748,-81.9929,119,1.9588,1999,
CODL,Delta,38.7714,-108.0394,117,1.7727,1999,
FLEP,East Pasco,28.3103,-82.2374,115,3.3824,1999,
TXGA,Galveston,29.3333,-94.8333,111,0.9911,1999,
FLMR,Myakka River S.P.,27.233,-82.236,104,1.4444,1999,
FLWV,West Volusia County,29.0543,-81.3039,100,1.9324,1999,
NMLV,Las Vegas,35.595,-105.2152,96,3.122,1999,
FLVE,Venice-Englewood,27.0048,-82.3793,95,0.7129,1999,
FLPR,Peace River,26.9243,-82.0474,93,0.8942,1999,
INMC,McCormick's Creek S.P.,39.2863,-86.7268,87,1.2655,1999,
TXUC,Uvalde County,29.2096,-99.7862,85,2.0606,1999,
FLST,Stuart,27.2121,-80.2624,82,0.4633,1999,
TNCY,Clay County,36.4995,-85.3667,80,1.3617,1999,
FLEC,Econlockhatchee,28.7094,-81.1467,80,0.6491,1999,
KSKR,Kirwin Reservoir,39.6877,-99.1223,75,1.5873,1999,
TXOR,Old River,29.8776,-94.7263,68,1.1333,1999,
AZPO,Portal,31.9009,-109.1364,62,0.3875,1999,
FLLA,Lakeland,28.0261,-81.8507,61,0.5304,1999,
FLBO,Brooksville,28.548,-82.3245,59,0.7564,1999,
ONLP,Long Point,42.6211,-80.3908,58,0.3422,1999,RN PS
INMT,Muscatatuck N.W.R.,38.9594,-85.7983,57,1.6765,1999,
FLSR,Sarasota,27.2841,-82.4976,55,0.7333,1999,
NMSE,Sevilleta N.W.R.,34.3167,-106.95,49,1.5935,1999,
FLAL,Alafia Banks,27.792,-82.3349,46,0.7731,1999,
FLFP,Fort Pierce,27.4177,-80.3828,45,0.4018,1999,
GAAB,Albany,31.4333,-84.4167,45,1.4876,1999,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,43,0.4943,1999,
MSJC,Jackson County,30.4366,-88.7119,43,1.075,1999,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,43,0.9348,1999,
WIMA,Madison,43.0747,-89.3843,40,0.1619,1999,
FLWR,Wekiva River,28.7863,-81.3679,38,0.3744,1999,
TNHP,Hickory-Priest,36.1926,-86.6634,37,0.7668,1999,GD
TXVC,Village Creek Drying Beds,32.7667,-97.1167,34,0.5862,1999,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,34,0.764,1999,
TXBN,Burnet County,30.7514,-98.275,31,0.3229,1999,FC
UTDJ,Dinosaur N.M.-Jensen,40.3698,-109.3456,30,2.5,1999,
TXPA,Port Aransas,27.8502,-97.1,29,0.3906,1999,
FLCO,Cocoa,28.3622,-80.7026,27,0.2101,1999,
TXLU,Lubbock County,33.5849,-101.7925,27,0.4091,1999,
LALT,Lacassine N.W.R.-Thornwell,30.0626,-92.8147,26,0.1573,1999,
LASA,Sabine N.W.R.,29.8545,-93.3892,26,0.1381,1999,
MIBT,Battle Creek,42.3767,-85.2795,24,0.378,1999,
OKWM,Wichita Mountains Wildlife Refuge,34.7333,-98.6667,23,0.3898,1999,
FLVB,Vero Beach,27.6667,-80.4167,23,0.3433,1999,
TXPM,Palmetto S.P.,29.5833,-97.5833,21,0.2515,1999,
LACW,Crowley,30.1107,-92.3619,20,0.1639,1999,
MIHA,Hartland,42.6305,-83.8364,20,0.625,1999,
MIDO,Dowagiac,41.9667,-86.0833,20,0.64,1999,
INSL,Southeast LaPorte County,41.4667,-86.6333,20,0.6107,1999,AQ
FLCS,Corkscrew Swamp Sanctuary,26.3666,-81.5217,20,0.2381,1999,
OHGL,Grand Lake-St. Marys,40.5168,-84.5,19,0.6441,1999,
FLTA,Tampa,28.0107,-82.4595,18,0.186,1999,
FLHC,Hamilton County,30.336,-82.7595,18,0.3051,1999,
CALS,Los Baños,37.0612,-120.8849,17,0.2048,1999,
OHWO,Wooster,40.7464,-82.0189,17,0.5537,1999,
TXWF,Wichita Falls,33.8877,-98.6298,15,0.2586,1999,
LALA,Lafayette,30.1901,-92.1042,15,0.1395,1999,
TXCT,Coastal Tip,26.0278,-97.2334,15,1.0169,1999,
FLBA,Bradenton,27.501,-82.5631,14,0.2074,1999,
NMLA,Lakes Avalon-Brantley,32.5661,-104.294,14,0.306,1999,
FLSM,St. Marks,30.1536,-84.2227,14,0.1337,1999,
GACG,Callaway Gardens,32.824,-84.8437,14,0.2456,1999,
