Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
KSQU,Quivira N.W.R.,38.15,-98.4833,10505,456.7391,1998,
TXBS,Big Spring,32.2391,-101.4162,9017,409.8636,1998,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,7641,23.2957,1998,
TNHI,Hiwassee,35.3655,-84.92,6309,87.625,1998,
CAST,Stockton,38.116,-121.3954,6220,44.5878,1998,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,5998,110.055,1998,
WILG,Lake Geneva,42.5833,-88.5,5960,71.5916,1998,GD
TXLS,La Sal Vieja,26.4849,-97.9649,5424,90.4,1998,
NMRO,Roswell,33.397,-104.3983,3968,72.8073,1998,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,2363,19.1646,1998,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,2000,160,1998,
CARC,Rio Cosumnes,38.3505,-121.4175,1717,10.263,1998,
TXAY,Armand Bayou,29.5498,-95.0489,1612,18.1124,1998,
NMCA,Caballo,32.953,-107.3122,1566,35.191,1998,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,1369,17.2744,1998,
FLGA,Gainesville,29.6027,-82.3127,1361,7.8899,1998,
MIWA,Waterloo State Recreation Area,42.3245,-84.2097,1107,15.8143,1998,
TXCC,Corpus Christi,27.8334,-97.5833,1044,9.4909,1998,
CACP,Carrizo Plain,35.25,-119.85,985,33.6752,1998,
TXRO,Rockport,28.0669,-97.1167,897,10.2514,1998,
FLLP,Lake Placid,27.2601,-81.3441,800,5.7143,1998,
FLKV,Kissimmee Valley,28.2062,-81.3936,700,8.1633,1998,
CACW,Caswell-Westley,37.6061,-121.174,583,7.8784,1998,
TXKI,Kingsville,27.4658,-97.8551,567,8.369,1998,
TXFR,Freeport,29.0172,-95.3551,520,1.5592,1998,
TXCS,College Station,30.593,-96.3175,503,4.3834,1998,
TXBZ,Brazos Bend,29.3734,-95.6688,478,5.4011,1998,
TXAM,Amarillo,34.9851,-101.7021,472,16.8571,1998,
INLM,Lake Monroe,39.0152,-86.3984,436,3.5592,1998,
TXCY,Cypress Creek,29.9561,-95.89,416,9.4011,1998,
NMAL,Albuquerque,35.1833,-106.6167,389,4.8625,1998,
CAPV,Peace Valley,39.1982,-121.8219,363,5.5,1998,
ORSI,Sauvie Island,45.7562,-122.8008,340,5.1128,1998,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,308,7.1214,1998,
NMGR,Gila River,32.9152,-108.584,304,4.2517,1998,
TXAR,Aransas N.W.R.,28.2333,-96.8833,297,2.9479,1998,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,256,1.8286,1998,
NMLO,Loving,32.291,-104.0667,234,5.0323,1998,
FLLW,Lake Wales,27.8939,-81.5189,226,1.5322,1998,
FLMR,Myakka River S.P.,27.233,-82.236,204,2.8333,1998,
TXCK,Choke Canyon,28.4913,-98.3082,195,1.8224,1998,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,178,4.2892,1998,
NMLA,Lakes Avalon-Brantley,32.5661,-104.294,173,5.6721,1998,
MIFL,Flint,42.8615,-83.8475,131,4.6786,1998,GD
TXCP,Chaparral W.M.A.,28.3609,-99.3429,130,1.9118,1998,
ILFB,Fermilab-Batavia,41.8605,-88.2628,118,0.6611,1998,RC
FLAP,Avon Park A.F. Range,27.6501,-81.3167,117,1.5,1998,
ALGU,Guntersville,34.3883,-86.2803,117,1.5,1998,
MIBT,Battle Creek,42.3767,-85.2795,112,2.009,1998,MO
FLEM,Emeralda-Sunnyhill,28.85,-81.8501,109,1.4342,1998,
FLST,Stuart,27.2121,-80.2624,103,0.487,1998,
GACG,Callaway Gardens,32.824,-84.8437,100,1.4184,1998,
TXVI,Victoria,28.8723,-97.0784,88,1.0571,1998,
TXUC,Uvalde County,29.2096,-99.7862,82,1.9454,1998,
OKAN,Arnett,36.0569,-99.8103,75,4.1667,1998,
FLBO,Brooksville,28.548,-82.3245,75,0.9615,1998,
MIDO,Dowagiac,41.9667,-86.0833,74,2.4065,1998,
INWH,Whitewater S.P.,39.5909,-84.9936,73,2.8627,1998,
FLWV,West Volusia County,29.0543,-81.3039,73,1.1318,1998,
NMLV,Las Vegas,35.595,-105.2152,72,2.4,1998,
FLCO,Cocoa,28.3622,-80.7026,71,0.5182,1998,
FLME,Melrose,29.748,-81.9929,71,1.3922,1998,
FLEP,East Pasco,28.3103,-82.2374,70,1.5909,1998,
FLEC,Econlockhatchee,28.7094,-81.1467,67,0.4991,1998,
FLWR,Wekiva River,28.7863,-81.3679,61,0.3765,1998,
AZPO,Portal,31.9009,-109.1364,61,0.3035,1998,
FLSB,South Brevard County,27.8486,-80.55,58,0.4462,1998,
FLAB,Aripeka-Bayport,28.4667,-82.5833,55,1.0784,1998,
FLFP,Fort Pierce,27.4177,-80.3828,54,0.4091,1998,
FLVE,Venice-Englewood,27.0048,-82.3793,53,0.4353,1998,
FLPR,Peace River,26.9243,-82.0474,52,0.6303,1998,
OHPR,Preble County,39.6849,-84.5725,51,1.8785,1998,
TXBL,Buffalo Lake N.W.R.,34.9187,-102.0428,50,5.8824,1998,
INSC,Southern Lake County,41.32,-87.3098,50,6.25,1998,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,50,0.5495,1998,GD
TXMN,McNary,31.2682,-105.7871,46,2.0909,1998,
